Symptom Description,Diagnosis
"Kuch dino se skin mein bahut dry patches ban rahe hain, aur wo itchy lagte hain. Skin pe kabhi kabhi white flakes dikhte hain.",Psoriasis
"Aankhon ka rang peela ho gaya hai, aur thakaan mehsoos hoti hai.",Jaundice
Pairon mein veins bahut zyada dikh rahi hain aur khade hone pe dard hota hai. Kabhi kabhi pair halki jalan mehsoos hoti hai.,Varicose Veins
Sharir pe chhote chhote dane nikal aaye hain jo bahut zyada khujli karte hain. Chhoti chhoti dane phat jaate hain aur paani nikalta hai.,Chicken pox
Chehre pe chhote chhote dane hain jo kabhi kabhi dukhte hain.,Acne
Gardhan mein tez dard hota hai aur shoulders bhi stiff lagte hain.,Cervical spondylosis
Pairon mein veins bahut zyada dikh rahi hain aur khade hone pe dard hota hai. Lambe time tak khade rehne par pain aur bhaari lagta hai.,Varicose Veins
Dawa lene ke baad se skin pe red marks ban gaye hain aur halka swelling bhi hai.,drug reaction
Sharir pe chhote chhote dane nikal aaye hain jo bahut zyada khujli karte hain. Bukhar ke saath sharir bhaari lagta hai.,Chicken pox
Naak se pani beh raha hai aur chhikh aati rehti hai.,allergy
Face pe chhote chhote red sores hain jo kabhi kabhi leak karte hain.,Impetigo
"Bar bar bathroom jaana padta hai, aur kaafi thakaan mehsoos hoti hai.",diabetes
"Pichle kuch dino se bukhar utar hi nahi raha hai, aur pet kaafi tight lag raha hai. Din bhar pet mein heaviness lagti hai.",Typhoid
Kabhi kabhi sir bhaari lagta hai aur thoda chakkar bhi aata hai.,Hypertension
Bathroom karte waqt jalan hoti hai aur bar bar bathroom jaana padta hai.,urinary tract infection
Pet mein jalan hoti hai aur lagta hai kuch khaane ke baad uncomfortable ho raha hai.,peptic ulcer disease
Bathroom ke baad pain hota hai aur kabhi kabhi halka bleeding bhi hota hai.,Dimorphic Hemorrhoids
Pairon mein veins bahut zyada dikh rahi hain aur khade hone pe dard hota hai. Veins ke aas-paas ka skin kaafi tight lagta hai.,Varicose Veins
Bukhar ke saath thande paseene aate hain aur sharir mein dard rehta hai.,Malaria
"Kuch dino se skin mein bahut dry patches ban rahe hain, aur wo itchy lagte hain. Problem waali jagah mein tightness lagti hai.",Psoriasis
"Kabhi kabhi saans lene mein dikkat hoti hai, lagta hai chest tight ho gaya ho.",Bronchial Asthma
"Kuch dino se skin mein bahut dry patches ban rahe hain, aur wo itchy lagte hain. Raat mein khujli zyada ho jaati hai.",Psoriasis
"Naak se pani gir raha hai, gale mein kharash hai aur sard lag raha hai.",Common Cold
"Pichle kuch dino se bukhar utar hi nahi raha hai, aur pet kaafi tight lag raha hai. Khane ka mann bilkul nahi karta.",Typhoid
"Sir ke ek side mein tez dard hota hai, aur light aur sound bardasht nahi hote.",Migraine
Sharir pe chhote chhote dane nikal aaye hain jo bahut zyada khujli karte hain. Body mein kaafi thakaan hai.,Chicken pox
"Saans lene mein dikkat ho rahi hai, aur seene mein bhari bhari lagta hai.",Pneumonia
"Pichle kuch dino se bukhar utar hi nahi raha hai, aur pet kaafi tight lag raha hai. Kabhi kabhi thoda chakkar aata hai.",Typhoid
Bukhar ke saath pairon aur joints mein bahut dard ho raha hai.,Dengue
Subah uthte waqt joints mein dard hota hai aur hilaane mein dikkat hoti hai.,Arthritis
Khane ke baad seene mein jalan hoti hai aur lagta hai jaise khana upar aa raha ho.,gastroesophageal reflux disease
Pichle hafte se skin mein halka scaly texture ban raha hai aur woh jagah khujli kar rahi hai.,Fungal infection
